site,t_mean,t_min,t_max,t_var
MS1,24.4590301,19,34,6
MS8,26.09080095,23,30.5,3.791666667
MS12,25.80196078,22.5,31.5,4.582677165
MS18,24.43247344,20.5,29,2.648148148
MS63,26.07570423,21.5,33,6.670212766
MS66,26.67093675,21.5,33.5,3.855769231
MS71,25.34347443,21.5,31,5.085106383
MS75,26.41019608,22.5,32.5,4.224683544
MS84,26.1365834,22,33,4.055194805
MS90,26.02938808,22.5,35.5,3.577922078
MS92,26.71014493,23,37.5,3.798701299
MS95,25.97264682,22,32,3.9
MS110,24.31543116,18.5,30.5,2.146341463
MS114,26.07082631,21,32.5,4.689189189
MS121,26.10265184,21,32,4.171232877
MS124,24.99695586,20,30.5,4.288343558
MS130,21.24334443,15,30.5,3.943333333
MS134,20.44256198,9,30,5.675496689
MS137,21.9719697,15,31,4.807926829
MS149,23.7955298,14,34.5,7.91
MS159,22.52341824,15,42,7.254966887
MS164,22.56897959,16,30.5,5.9375
MS169,22.04726976,11,30.5,7.677631579
MS173,21.55862069,11.5,30.5,6.355172414
PBNP1_new,24.38843588,18.5,32,4.586261981
